"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
27,6787,20.5,1.2,Floyd HEARD,24 MAR 1966,USA,3qf3,"Indianapolis, IN (USA)",18 JUL 1988,1143
28,6787,20.5,-1.4,Calvin SMITH,08 JAN 1961,USA,2sf2,"Indianapolis, IN (USA)",20 JUL 1988,1151
29,6787,20.5,0.2,Linford CHRISTIE,02 APR 1960,GBR,6f1,"Letzigrund, Zürich (SUI)",17 AUG 1988,1143
30,6787,20.5,-0.6,James BUTLER,21 JUN 1960,USA,4,Bruxelles (BEL),19 AUG 1988,1146
31,6787,20.5,1.6,Bruno MARIE-ROSE,20 MAY 1965,FRA,3sf2,"Olympic Stadium, Jamsil, Seoul (KOR)",28 SEP 1988,1143
32,6787,20.5,-0.8,Robson DA SILVA,04 SEP 1964,BRA,1,São Paulo (BRA),21 MAY 1989,1147
33,6787,20.5,0.9,Kevin BRAUNSKILL,31 MAR 1969,USA,3sf2,"Houston, TX (USA)",17 JUN 1989,1143
34,6787,20.5,0.3,Calvin SMITH,08 JAN 1961,USA,1,Barcelona (ESP),12 JUL 1989,1143
35,6787,20.5,0.0,Gilles QUÉNÉHERVÉ,17 MAY 1966,FRA,5f1,"Letzigrund, Zürich (SUI)",16 AUG 1989,1143
36,6787,20.5,0.0,Joe DELOACH,05 JUN 1967,USA,6f1,"Letzigrund, Zürich (SUI)",16 AUG 1989,1143
37,6787,20.5,2.0,Lorenzo DANIEL,23 MAR 1966,USA,2,"Modesto, CA (USA)",05 MAY 1990,1143
38,6787,20.5,0.3,Dennis MITCHELL,20 FEB 1966,USA,5,"Norwalk, CA (USA)",16 JUN 1990,1143
39,6787,20.5,0.0,Floyd HEARD,24 MAR 1966,USA,2,"Olympiastadion, Berlin (GER)",17 AUG 1990,1143
40,6787,20.5,1.7,Horatio PORTER,01 NOV 1969,USA,2,"Houston, TX (USA)",19 MAY 1991,1143
41,6787,20.5,0.1,Emmanuel TUFFOUR,02 DEC 1966,GHA,1h7,"National Stadium, Tokyo (JPN)",26 AUG 1991,1143
42,6787,20.5,0.0,Nikolay ANTONOV,17 AUG 1968,BUL,3qf5,"Estadio Olímpico, Barcelona (ESP)",03 AUG 1992,1143
43,6787,20.5,-1.0,Olapade ADENIKEN,19 AUG 1969,NGR,5,"Estadio Olímpico, Barcelona (ESP)",06 AUG 1992,1149
44,6787,20.5,1.2,Randall EVANS,26 OCT 1970,USA,3,"Abilene, TX (USA)",29 MAY 1993,1143
45,6787,20.5,1.3,Michael MARSH,04 AUG 1967,USA,3,Villeneuve d'Ascq (FRA),02 JUL 1993,1143
46,6787,20.5,1.1,Calvin SMITH,08 JAN 1961,USA,3,Sheffield (GBR),29 AUG 1993,1143
47,6787,20.5,,John REGIS,13 OCT 1966,GBR,2,Edinburgh (GBR),08 JUL 1994,1143
48,6787,20.5,1.5,Brian BRIDGEWATER,07 SEP 1970,USA,2,"Edwardsville, IL (USA)",10 JUL 1994,1143
49,6787,20.5,1.6,Terry WILLIAMS,15 NOV 1968,GBR,2qf3,Victoria (CAN),24 AUG 1994,1143
50,6787,20.5,-1.0,David OAKS,12 MAY 1972,USA,3,"Des Moines, IA (USA)",29 APR 1995,1149
51,6787,20.5,0.9,Andrew TYNES,13 FEB 1972,BAH,1,Bratislava (SVK),30 MAY 1995,1143
52,6787,20.5,0.6,Anthony JARRETT,13 AUG 1968,GBR,1sf1,Birmingham (GBR),16 JUL 1995,1143
53,6787,20.5,0.6,Solomon WARISO,11 NOV 1966,GBR,2sf1,Birmingham (GBR),16 JUL 1995,1143
54,6787,20.5,1.2,Georgios PANAGIOTOPOULOS,12 AUG 1969,GRE,2,Patra (GRE),23 JUL 1995,1143
55,6787,20.5,1.7,Troy DOUGLAS,30 NOV 1962,BER,1,Hengelo (NED),27 MAY 1996,1143
56,6787,20.5,0.0,Jason ROUSER,22 MAR 1970,USA,1,"Bloomington, IN (USA)",07 JUN 1996,1143
57,6787,20.5,1.1,Alvis WHITTED,04 SEP 1974,USA,4,Oslo (NOR),05 JUL 1996,1143
58,6787,20.5,-0.8,Alvis WHITTED,04 SEP 1974,USA,1,London (GBR),12 JUL 1996,1147
59,6787,20.5,0.5,Gentry BRADLEY,19 JAN 1974,USA,h,"Indianapolis, IN (USA)",14 JUN 1997,1143
60,6787,20.5,1.0,Ramon CLAY,29 JUN 1975,USA,4,"Indianapolis, IN (USA)",15 JUN 1997,1143
61,6787,20.5,1.8,Julian GOLDING,17 FEB 1975,GBR,1sf2,"Paavo Nurmen Stadion, Turku (FIN)",12 JUL 1997,1143
62,6787,20.5,0.9,Tony WHEELER,19 JAN 1975,USA,3f2,Stuttgart (GER),13 JUL 1997,1143
63,6787,20.5,0.5,Rohsaan GRIFFIN,21 FEB 1974,USA,2,Nice (FRA),16 JUL 1997,1143
64,6787,20.5,0.5,Seun OGUNKOYA,28 DEC 1977,NGR,3,Nice (FRA),16 JUL 1997,1143
65,6787,20.5,0.8,Geir MOEN,26 JUN 1969,NOR,6,"Olympiastadion, Berlin (GER)",26 AUG 1997,1143
66,6787,20.5,0.3,Geir MOEN,26 JUN 1969,NOR,5,Fukuoka (JPN),13 SEP 1997,1143
67,6787,20.5,0.1,Shawn CRAWFORD,14 JAN 1978,USA,h,"Orlando, FL (USA)",17 APR 1998,1143
68,6787,20.5,0.3,Byron LOGAN,19 JUL 1974,JAM,h,"Gainesville, FL (USA)",23 MAY 1998,1143
69,6787,20.5,1.4,Francis OBIKWELU,22 NOV 1978,NGR,1,Beograd (SRB),31 MAY 1998,1143
70,6787,20.5,1.2,Deji ALIU,22 NOV 1975,NGR,1,Rethymno (GRE),31 MAY 1998,1143
71,6787,20.5,0.4,Georgios PANAGIOTOPOULOS,12 AUG 1969,GRE,3,Athina (GRE),17 JUN 1998,1143
72,6787,20.5,0.1,Rodrigue NORDIN,22 MAR 1971,FRA,1,Limoges (FRA),22 JUL 1998,1143
73,6787,20.5,0.0,Llewellyn HERBERT,21 JUL 1977,RSA,1,Secunda (RSA),16 JAN 1999,1143
74,6787,20.5,-1.9,Koji ITO,29 JAN 1970,JPN,1,Gifu (JPN),12 JUN 1999,1154
75,6787,20.5,1.7,Marlon DEVONISH,01 JUN 1976,GBR,2,Villeneuve d'Ascq (FRA),13 JUN 1999,1143
76,6787,20.5,1.0,Ramon CLAY,29 JUN 1975,USA,2,Villeneuve d'Ascq (FRA),13 JUN 1999,1143
77,6787,20.5,-0.4,Konstantinos KENTERIS,11 JUL 1973,GRE,1f1,Athina (GRE),16 JUN 1999,1145
78,6787,20.5,0.8,Sunday EMMANUEL,08 OCT 1978,NGR,2,Dortmund (GER),26 JUN 1999,1143
79,6787,20.5,0.0,Roland NÉMETH,19 SEP 1974,HUN,1,Budapest (HUN),03 JUL 1999,1143
80,6787,20.5,0.8,Petko YANKOV,06 OCT 1977,BUL,6,"Stadio Olimpico, Roma (ITA)",07 JUL 1999,1143
81,6787,20.5,0.8,Koji ITO,29 JAN 1970,JPN,7,"Stadio Olimpico, Roma (ITA)",07 JUL 1999,1143
82,6787,20.5,0.4,Francis OBIKWELU,22 NOV 1978,NGR,1,Lisboa (POR),14 MAY 2000,1143
83,6787,20.5,0.5,Sayon COOPER,26 APR 1974,LBR,2,Cayenne (GUY),21 MAY 2000,1143
84,6787,20.5,,Leo SETTLE,19 OCT 1975,USA,1,Juárez (MEX),17 JUN 2000,1143
85,6787,20.5,-1.2,Claudinei Quirino DA SILVA,19 NOV 1970,BRA,1,Villeneuve d'Ascq (FRA),17 JUN 2000,1150
86,6787,20.5,-0.6,Jon DRUMMOND,09 SEP 1968,USA,h,"Sacramento, CA (USA)",22 JUL 2000,1146
87,6787,20.5,-0.3,Christophe CHEVAL,25 FEB 1971,FRA,1,Paris (FRA),23 JUL 2000,1144
88,6787,20.5,-0.5,Jon DRUMMOND,09 SEP 1968,USA,2,"Crystal Palace, London (GBR)",05 AUG 2000,1146
89,6787,20.5,0.8,Christie VAN WYK,12 OCT 1977,NAM,1,Lappeenranta (FIN),13 AUG 2000,1143
90,6787,20.5,-0.4,Andrew TYNES,13 FEB 1972,BAH,1,"El Paso, TX (USA)",26 AUG 2000,1145
91,6787,20.5,1.4,André Domingos DA SILVA,26 NOV 1972,BRA,1h1,Sâo Caetano do Sul (BRA),22 APR 2001,1143
92,6787,20.5,1.5,Brian DZINGAI,29 APR 1981,ZIM,1,"Joplin, MO (USA)",06 MAY 2001,1143
93,6787,20.5,1.7,Christopher WILLIAMS,15 MAR 1972,JAM,2,"Portland, OR (USA)",03 JUN 2001,1143
94,6787,20.5,0.9,Bernard WILLIAMS,19 JAN 1978,USA,2sf2,"Eugene, OR (USA)",23 JUN 2001,1143
95,6787,20.5,0.1,Marlon DEVONISH,01 JUN 1976,GBR,8,Bruxelles (BEL),24 AUG 2001,1143
96,6787,20.5,,Fawzi Dahash AL SHAMMARI,13 FEB 1979,KUW,2,Qatif (KSA),29 MAR 2002,1143
97,6787,20.5,0.2,Dominic DEMERITTE,22 FEB 1978,BAH,3,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 JUL 2002,1143
98,6787,20.5,-1.4,Patrick JOHNSON,26 SEP 1972,AUS,1,Brisbane (AUS),05 APR 2003,1151
99,6787,20.5,0.0,Darren CAMPBELL,12 SEP 1973,GBR,3,Ciudad de México (MEX),03 MAY 2003,1143
0,6787,20.5,-1.7,Marquis DAVIS,14 AUG 1980,USA,1,"Knoxville, TN (USA)",18 MAY 2003,1153
1,6787,20.5,0.0,Marlon DEVONISH,01 JUN 1976,GBR,4,Trikala (GRE),24 JUN 2003,1143
2,6787,20.5,0.8,Patrick JOHNSON,26 SEP 1972,AUS,4,"Stadio Olimpico, Roma (ITA)",11 JUL 2003,1143
3,6787,20.5,2.0,Marlon DEVONISH,01 JUN 1976,GBR,4,Birmingham (GBR),27 JUL 2003,1143
4,6787,20.5,1.3,Marlon DEVONISH,01 JUN 1976,GBR,3,"Crystal Palace, London (GBR)",08 AUG 2003,1143
5,6787,20.5,0.0,Tyson GAY,09 AUG 1982,USA,1,Oxford (GBR),16 MAY 2004,1143
6,6787,20.5,0.0,Tyler CHRISTOPHER,03 OCT 1983,CAN,1,Bydgoszcz (POL),05 JUN 2004,1143
7,6787,20.5,,Juan Pedro TOLEDO,17 JUN 1978,MEX,1,Xalapa (MEX),20 JUN 2004,1143
8,6787,20.5,1.5,Johan WISSMAN,02 NOV 1982,SWE,3,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 2004,1143
9,6787,20.5,0.7,Aaron ARMSTRONG,14 OCT 1977,TTO,3h1,"Sacramento, CA (USA)",16 JUL 2004,1143
10,6787,20.5,-0.7,Justin GATLIN,10 FEB 1982,USA,3sf1,"Sacramento, CA (USA)",17 JUL 2004,1147
11,6787,20.5,1.7,Joshua J. JOHNSON,10 MAY 1976,USA,2,Birmingham (GBR),25 JUL 2004,1143
12,6787,20.5,-0.5,Christopher LAMBERT,06 APR 1981,GBR,1,"Crystal Palace, London (GBR)",30 JUL 2004,1146
13,6787,20.5,0.7,Xavier CARTER,08 DEC 1985,USA,3h2,"Sacramento, CA (USA)",09 JUN 2005,1143
14,6787,20.5,0.4,Naoki TSUKAHARA,10 MAY 1985,JPN,2h3,Yokohama (JPN),20 MAY 2006,1143
15,6787,20.5,0.8,Xavier BROWN,21 FEB 1983,JAM,1,Spanish Town (JAM),04 JUN 2006,1143
16,6787,20.5,-0.8,Walter DIX,31 JAN 1986,USA,1sf2,"Sacramento, CA (USA)",09 JUN 2006,1147
17,6787,20.5,0.1,Johan WISSMAN,02 NOV 1982,SWE,2,Karlskrona (SWE),12 JUN 2006,1143
18,6787,20.5,0.3,Darvis PATTON,04 DEC 1977,USA,2,Thessaloniki (GRE),24 JUL 2006,1143
19,6787,20.5,1.3,Jordan VADEN,15 SEP 1978,USA,6,"Icahn Stadium, New York, NY (USA)",02 JUN 2007,1143
20,6787,20.5,-2.7,Usain BOLT,21 AUG 1986,JAM,1h1,Kingston (JAM),24 JUN 2007,1159
21,6787,20.5,0.1,Derrick ATKINS,05 JAN 1984,BAH,1,Leverkusen (GER),10 AUG 2007,1143
22,6787,20.5,0.2,Brian DZINGAI,29 APR 1981,ZIM,4h3,"Yanmar Stadium Nagai, Osaka (JPN)",28 AUG 2007,1143
23,6787,20.5,0.6,Paul HESSION,27 JAN 1983,IRL,1qf4,"Yanmar Stadium Nagai, Osaka (JPN)",28 AUG 2007,1143
24,6787,20.5,-0.4,Paul HESSION,27 JAN 1983,IRL,6sf2,"Yanmar Stadium Nagai, Osaka (JPN)",29 AUG 2007,1145
25,6787,20.5,-1.0,Angelo TAYLOR,29 DEC 1978,USA,1f1,"Atlanta, GA (USA)",17 MAY 2008,1149
26,6787,20.5,0.6,Evander WELLS,07 DEC 1987,USA,3,"Auburn, AL (USA)",18 MAY 2008,1143
27,6787,20.5,-2.0,Churandy MARTINA,03 JUL 1984,AHO,1,"FBK Stadium, Hengelo (NED)",24 MAY 2008,1155
28,6787,20.5,-0.7,Evander WELLS,07 DEC 1987,USA,2sf2,"Des Moines, IA (USA)",12 JUN 2008,1147
29,6787,20.5,0.4,Kristof BEYENS,13 JUL 1983,BEL,3qf3,"National Stadium, Beijing (CHN)",18 AUG 2008,1143
30,6787,20.5,1.2,Mitsuhiro ABIKO,25 OCT 1988,JPN,1h1,Shizuoka (JPN),03 MAY 2009,1143
31,6787,20.5,0.4,Rondel SORRILLO,24 JAN 1986,TTO,3,"Louisville, KY (USA)",30 MAY 2009,1143
32,6787,20.5,0.0,Dwain CHAMBERS,05 APR 1978,GBR,1f1,Uden (NED),27 JUN 2009,1143
33,6787,20.5,0.7,Robert HERING,14 JUN 1990,GER,1h1,Ulm (GER),05 JUL 2009,1143
34,6787,20.5,1.4,Paul HESSION,27 JAN 1983,IRL,1f2,"Stade Olympique de la Pontaise, Lausanne (SUI)",07 JUL 2009,1143
35,6787,20.5,0.9,Kelly WILLIE,07 SEP 1982,USA,1f1,Rethymno (GRE),20 JUL 2009,1143
36,6787,20.5,0.6,Curtis MITCHELL,11 MAR 1989,USA,1h2,"Columbia, MO (USA)",15 MAY 2010,1143
37,6787,20.5,1.8,Shawn CRAWFORD,14 JAN 1978,USA,6,"Hayward Field, Eugene, OR (USA)",03 JUL 2010,1143
38,6787,20.5,1.1,Christian MALCOLM,03 JUN 1979,GBR,1f1,La Chaux-de-Fonds (SUI),04 JUL 2010,1143
39,6787,20.5,-0.9,Angelo TAYLOR,29 DEC 1978,USA,4,"International Stadium, Gateshead (GBR)",10 JUL 2010,1148
40,6787,20.5,1.2,Jaysuma SAIDY NDURE,01 JAN 1984,NOR,1sf1,"Estadio Olímpico, Barcelona (ESP)",29 JUL 2010,1143
41,6787,20.5,2.0,Horatio WILLIAMS,28 AUG 1989,USA,2,"Athens, GA (USA)",15 MAY 2011,1143
42,6787,20.5,1.8,Jonathan ÅSTRAND,09 SEP 1985,FIN,1f1,Izmir (TUR),19 JUN 2011,1143
43,6787,20.5,0.9,Femi OGUNODE,15 MAY 1991,QAT,1h2,Kobe (JPN),09 JUL 2011,1143
44,6787,20.5,-1.0,Jaysuma SAIDY NDURE,01 JAN 1984,NOR,2sf2,"DS, Daegu (KOR)",02 SEP 2011,1149
45,6787,20.5,0.5,Michael MATHIEU,24 JUN 1984,BAH,2sf3,Guadalajara (MEX),26 OCT 2011,1143
46,6787,20.5,-1.3,Thuso MPUANG,01 MAR 1984,RSA,2,Potchefstroom (RSA),24 MAR 2012,1150
47,6787,20.5,0.0,Richard KILTY,02 SEP 1989,GBR,1f1,"Tempe, AZ (USA)",07 APR 2012,1143
48,6787,20.5,1.8,Diondre BATSON,13 JUL 1992,USA,2,"Walnut, CA (USA)",21 APR 2012,1143
49,6787,20.5,0.8,Diego CAVALCANTI,18 MAR 1991,BRA,3,Belém (BRA),06 MAY 2012,1143
50,6787,20.5,-0.9,Ramon MILLER,17 FEB 1987,BAH,1f1,"Tampa, FL (USA)",27 MAY 2012,1148
51,6787,20.5,0.2,Aziz OUHADI,24 JUL 1984,MAR,1,Brazzaville (CGO),10 JUN 2012,1143
52,6787,20.5,-0.7,Anaso JOBODWANA,30 JUL 1992,RSA,1f1,Velenje (SLO),14 JUN 2012,1147
53,6787,20.5,-1.0,Darvis PATTON,04 DEC 1977,USA,3sf2,"Hayward Field, Eugene, OR (USA)",30 JUN 2012,1149
54,6787,20.5,-0.5,Keith RICKS,09 OCT 1990,USA,3,Irapuato (MEX),08 JUL 2012,1146
55,6787,20.5,-0.2,Isiah YOUNG,05 JAN 1990,USA,1f1,"Oxford, MS (USA)",13 APR 2013,1144
56,6787,20.5,0.7,Anaso JOBODWANA,30 JUL 1992,RSA,1h2,"Greensboro, NC (USA)",24 MAY 2013,1143
57,6787,20.5,0.7,Aldemir JUNIOR,08 JUN 1992,BRA,1h2,São Paulo (BRA),08 JUN 2013,1143
58,6787,20.5,0.0,Jimmy VICAUT,27 FEB 1992,FRA,3h3,"Luzhniki Stadion, Moskva (RUS)",16 AUG 2013,1143
59,6787,20.5,0.2,Matteo GALVAN,24 AUG 1988,ITA,4,"Stadio Guidobaldi, Rieti (ITA)",08 SEP 2013,1143
60,6787,20.5,1.7,Shavez HART,06 SEP 1992,BAH,1f3,"San Antonio, TX (USA)",21 MAR 2014,1143
61,6787,20.5,-0.2,Jevaughn MINZIE,20 JUL 1995,JAM,1,Kingston (JAM),29 MAR 2014,1144
62,6787,20.5,1.3,Michael O'HARA,29 SEP 1996,JAM,1,Fort-de-France (FRA),21 APR 2014,1143
63,6787,20.5,0.6,Shinji TAKAHIRA,18 JUL 1984,JPN,2f2,Fukuroi (JPN),03 MAY 2014,1143
64,6787,20.5,0.3,Michael MATHIEU,24 JUN 1984,BAH,3,"Stadion Juliska, Praha (CZE)",09 JUN 2014,1143
65,6787,20.5,0.1,Jermaine BROWN,04 JUL 1991,JAM,2sf3,Kingston (JAM),28 JUN 2014,1143
66,6787,20.5,0.5,Jermaine BROWN,04 JUL 1991,JAM,5,Kingston (JAM),29 JUN 2014,1143
67,6787,20.5,0.0,Chris CLARKE,25 JAN 1990,GBR,1f1,Manchester (GBR),09 AUG 2014,1143
68,6787,20.5,0.6,Cruz Rolando PALACIOS,03 MAY 1987,HON,7,Ciudad de México (MEX),16 AUG 2014,1143
69,6787,20.5,1.4,Aldemir JUNIOR,08 JUN 1992,BRA,1,Montevideo (URU),05 OCT 2014,1143
70,6787,20.5,0.3,Harry ADAMS,27 NOV 1989,USA,2f1,"Coral Gables, FL (USA)",11 APR 2015,1143
71,6787,20.5,-0.5,Carvin NKANATA,06 MAY 1991,KEN,2,"Todoroki Stadium, Kawasaki (JPN)",10 MAY 2015,1146
72,6787,20.5,1.7,James HARRINGTON,03 JUL 1993,USA,1h2,"East Lansing, MI (USA)",16 MAY 2015,1143
73,6787,20.5,0.0,Reynier MENA,21 NOV 1996,CUB,2f1,Camagüey (CUB),16 MAY 2015,1143
74,6787,20.5,1.9,Chijindu UJAH,05 MAR 1994,GBR,1,Loughborough (GBR),17 MAY 2015,1143
75,6787,20.5,1.7,Rondel SORRILLO,24 JAN 1986,TTO,2f2,Port-of-Spain (TTO),28 JUN 2015,1143
76,6787,20.5,0.0,Karol ZALEWSKI,07 AUG 1993,POL,1sf1,"Kadrioru staadion, Tallinn (EST)",11 JUL 2015,1143
77,6787,20.5,1.1,Mike Mokamba NYANG'AU,28 AUG 1996,KEN,1,Nairobi (KEN),11 JUL 2015,1143
78,6787,20.5,1.5,Julius MORRIS,14 APR 1994,MNT,2h1,San José (CRC),07 AUG 2015,1143
79,6787,20.5,-0.4,Isiah YOUNG,05 JAN 1990,USA,4,"Sports Park Mladost, Zagreb (CRO)",08 SEP 2015,1145
80,6787,20.5,0.0,Walter DIX,31 JAN 1986,USA,1f1,"Orlando, FL (USA)",26 MAR 2016,1143
81,6787,20.5,0.7,Bruno DE BARROS,07 JAN 1987,BRA,3f1,"Gainesville, FL (USA)",02 APR 2016,1143
82,6787,20.5,1.0,Jeremy DODSON,30 AUG 1987,SAM,5f1,"Walnut, CA (USA)",16 APR 2016,1143
83,6787,20.5,0.0,César RAMÍREZ,21 JAN 1994,MEX,1,Guadalajara (MEX),11 MAY 2016,1143
84,6787,20.5,1.7,Davide MANENTI,16 APR 1989,ITA,1f1,Savona (ITA),25 MAY 2016,1143
85,6787,20.5,1.1,Yancarlos MARTÍNEZ,08 AUG 1992,DOM,1sf2,La Habana (CUB),28 MAY 2016,1143
86,6787,20.5,1.2,Matteo GALVAN,24 AUG 1988,ITA,3,Rieti (ITA),26 JUN 2016,1143
87,6787,20.5,-1.5,Warren WEIR,31 OCT 1989,JAM,4,Kingston (JAM),03 JUL 2016,1152
88,6787,20.5,0.3,Vitor Hugo DOS SANTOS,01 FEB 1996,BRA,2,Sao Bernardo do Campo (BRA),03 JUL 2016,1143
89,6787,20.5,0.4,Jarrion LAWSON,06 MAY 1994,USA,4sf2,"Hayward Field, Eugene, OR (USA)",08 JUL 2016,1143
90,6787,20.5,0.0,Jorge VIDES,24 NOV 1992,BRA,3h4,"Estádio Olímpico, Rio de Janeiro (BRA)",16 AUG 2016,1143
91,6787,20.5,0.8,Solomon BOCKARIE,18 MAY 1987,NED,8,"Boudewijnstadion, Bruxelles (BEL)",09 SEP 2016,1143
92,6787,20.5,0.7,Gift LEOTLELA,12 MAY 1998,RSA,1f3,Potchefstroom (RSA),03 MAR 2017,1143
93,6787,20.5,1.9,Brandon CARNES,06 MAR 1995,USA,1f5,"Iowa City, IA (USA)",22 APR 2017,1143
94,6787,20.5,-1.1,Diego PALOMEQUE,05 DEC 1993,COL,1f4,Medellín (COL),29 APR 2017,1149
95,6787,20.5,0.3,Shota IIZUKA,25 JUN 1991,JPN,2f1,Fukuroi (JPN),03 MAY 2017,1143
96,6787,20.5,0.6,Terrel COTTON,19 JUL 1988,USA,1,"National Stadium, Kingston (JAM)",20 MAY 2017,1143
97,6787,20.5,0.1,Aleixo Platini MENGA,29 SEP 1987,GER,1f2,Zeulenroda (GER),25 MAY 2017,1143
98,6787,20.5,1.2,Senoj-Jay GIVANS,30 DEC 1993,JAM,1h2,"Austin, TX (USA)",26 MAY 2017,1143
99,6787,20.5,1.4,Lykourgos-Stefanos TSAKONAS,08 MAR 1990,GRE,2f2,Gavardo (ITA),04 JUN 2017,1143
0,6787,20.5,-1.9,Ameer WEBB,19 MAR 1991,USA,1h3,"Sacramento, CA (USA)",24 JUN 2017,1154
1,6787,20.5,-2.3,Dedric DUKES,04 FEB 1992,USA,6,"Sacramento, CA (USA)",25 JUN 2017,1156
2,6787,20.5,-2.1,Elijah HALL-THOMPSON,22 AUG 1994,USA,2sf2,"Sacramento, CA (USA)",25 JUN 2017,1155
3,6787,20.5,-1.0,Dan-Neil TELESFORD,09 SEP 1990,TTO,3f2,Port-of-Spain (TTO),25 JUN 2017,1149
4,6787,20.5,-0.7,Christophe LEMAITRE,11 JUN 1990,FRA,8,"Olympic Stadium, London (GBR)",09 JUL 2017,1147
5,6787,20.5,1.0,Robin EREWA,24 JUN 1991,GER,2,Erfurt (GER),09 JUL 2017,1143
6,6787,20.5,0.0,Dedric DUKES,04 FEB 1992,USA,3,"Moratalaz, Madrid (ESP)",14 JUL 2017,1143
7,6787,20.5,0.4,Reynier MENA,21 NOV 1996,CUB,1,Camagüey (CUB),16 MAR 2018,1143
8,6787,20.5,2.0,Teray SMITH,28 SEP 1994,BAH,3f1,"Gainesville, FL (USA)",29 MAR 2018,1143
9,6787,20.5,2.0,Yancarlos MARTÍNEZ,08 AUG 1992,DOM,3f1,"Gainesville, FL (USA)",29 MAR 2018,1143
10,6787,20.5,0.9,Mustaqeem WILLIAMS,24 AUG 1995,USA,4f1,"Gainesville, FL (USA)",30 MAR 2018,1143
11,6787,20.5,0.0,Keitavious WALTER,16 APR 1996,USA,1f2,"Auburn, AL (USA)",21 APR 2018,1143
12,6787,20.5,0.6,Bernardo BALOYES,06 JAN 1994,COL,1f1,Medellín (COL),28 APR 2018,1143
13,6787,20.5,1.3,Ramil GULIYEV,29 MAY 1990,TUR,1h2,Tarragona (ESP),28 JUN 2018,1143
14,6787,20.5,1.8,Serhiy SMELYK,19 APR 1987,UKR,1,Lutsk (UKR),21 JUL 2018,1143
15,6787,20.5,0.1,Robin VANDERBEMDEN,10 FEB 1994,BEL,1h1,"Olympiastadion, Berlin (GER)",08 AUG 2018,1143
16,6787,20.5,0.6,Akeem SIRLEAF,10 MAR 1997,LBR,1f2,"Gainesville, FL (USA)",29 MAR 2019,1143
17,6787,20.5,1.3,Nick GRAY,02 JUN 1997,USA,1h1,"Iowa City, IA (USA)",10 MAY 2019,1143
18,6787,20.5,-0.4,Chun-Han YANG,01 JAN 1997,TPE,2,"Yanmar Stadium Nagai, Osaka (JPN)",19 MAY 2019,1145
19,6787,20.5,1.3,Eric ALLEN,23 AUG 1999,USA,2h5,"Sacramento, CA (USA)",24 MAY 2019,1143
20,6787,20.5,0.9,Steven MÜLLER,15 SEP 1990,GER,2f3,Regensburg (GER),07 JUL 2019,1143
21,6787,20.5,0.6,Alonso EDWARD,08 DEC 1989,PAN,5,"Bregyó Athletic Center, Székesfehérvár (HUN)",09 JUL 2019,1143
22,6787,20.5,0.6,Nethaneel MITCHELL-BLAKE,02 APR 1994,GBR,6,"Bregyó Athletic Center, Székesfehérvár (HUN)",09 JUL 2019,1143
23,6787,20.5,0.2,Divine ODUDURU,07 OCT 1996,NGR,6,"Stade Charléty, Paris (FRA)",24 AUG 2019,1143
24,6787,20.5,-0.6,Serhiy SMELYK,19 APR 1987,UKR,1f2,Pravets (BUL),03 SEP 2019,1146
25,6787,20.5,0.2,Churandy MARTINA,03 JUL 1984,NED,3,Andújar (ESP),06 SEP 2019,1143
26,6787,20.5,-0.5,Shaun MASWANGANYI,01 FEB 2001,RSA,2h3,"Bestmed Tuks Stadium, Pretoria (RSA)",13 MAR 2020,1146
27,6787,20.5,0.7,Antonio INFANTINO,22 MAR 1991,ITA,3f8,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",15 AUG 2020,1143
28,6787,20.5,1.1,Evan MILLER,29 AUG 2000,USA,2f1,"Cregger Track, Columbia, SC (USA)",27 MAR 2021,1143
29,6787,20.5,2.0,Guy MAGANGA GORRA,18 MAR 1993,GAB,1f1,"Ray McDonald, Sr., Track Complex, Mount Olive, NC (USA)",10 APR 2021,1143
30,6787,20.5,0.9,Guy MAGANGA GORRA,18 MAR 1993,GAB,1f1,"Shellenberger Field & Dr. Jack M. Toms Track, Lynchburg, VA (USA)",17 APR 2021,1143
31,6787,20.5,1.7,Caleb BOGER,2001,USA,2f1,"UNM Track Stadium, Albuquerque, NM (USA)",22 APR 2021,1143
32,6787,20.5,1.7,Trevor STEWART,20 MAY 1997,USA,2,"Irwin Belk Track, Greensboro, NC (USA)",08 MAY 2021,1143
33,6787,20.5,1.2,Terrance LAIRD,12 OCT 1998,USA,1pr1,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",26 MAY 2021,1143
34,6787,20.5,1.5,Jordan BOOKER,,USA,2h3,"Cushing Stadium, College Station, TX (USA)",29 MAY 2021,1143
35,6787,20.5,1.5,Antonio INFANTINO,22 MAR 1991,ITA,1f7,"Dagenham Arena, London (GBR)",29 MAY 2021,1143
36,6787,20.5,0.4,Sibusiso MATSENJWA,02 MAY 1988,SWZ,1f5,"Bestmed Tuks Stadium, Pretoria (RSA)",19 JUN 2021,1143
37,6787,20.5,1.7,Kendal WILLIAMS,23 SEP 1995,USA,2,"Cougar Athletic Stadium, Azusa, CA (USA)",25 JUL 2021,1143
38,6787,20.5,1.3,Ryota SUZUKI,25 JUN 1999,JPN,1,"Prefectural Stadium, Kumagaya (JPN)",19 SEP 2021,1143
